=== AetherCore Summary Analyzer (Gepard 3.0) ===
ไฟล์นี้คือ output จาก parser เก่า → วิเคราะห์ได้เลย

พบทั้งหมด 768 packet

Opcode ที่สำคัญ (Gepard 3.0):
------------------------------------------------------------
Opcode: 0x5055 | Len: 22896 | 
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5087 | Len: 9841  | 
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x3021 | Len: 10097 | 
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x8094 | Len: 4210  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x0001 | Len: 4096  |
Opcode: 0x9055 | Len: 30066 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x9057 | Len: 12661 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x61A9 | Len: 4096  |
Opcode: 0x14A3 | Len: 8192  |
Opcode: 0x2080 | Len: 20853 |
Opcode: 0x5646 | Len: 12818 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x0100 | Len: 4096  |
Opcode: 0x6F6F | Len: 8192  |
Opcode: 0x7000 | Len: 12288 |
Opcode: 0x5100 | Len: 16384 |
Opcode: 0x2034 | Len: 21109 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x3002 | Len: 33397 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x8050 | Len: 4982  |
Opcode: 0x5646 | Len: 4648  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x0000 | Len: 4096  |
Opcode: 0x0001 | Len: 8192  |
Opcode: 0x0000 | Len: 12288 |
Opcode: 0x0012 | Len: 20480 |
Opcode: 0x001F | Len: 24576 |
Opcode: 0x01C9 | Len: 28672 |
Opcode: 0x0001 | Len: 32768 |
Opcode: 0x0001 | Len: 36864 |
Opcode: 0x0001 | Len: 40960 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0001 | Len: 45056 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x00B0 | Len: 49152 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x00B0 | Len: 53248 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x09E7 | Len: 57344 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x8070 | Len: 4982  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5077 | Len: 14198 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5044 | Len: 29303 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x8DC6 | Len: 4096  |
Opcode: 0x0482 | Len: 8192  |
Opcode: 0x2091 | Len: 37752 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5090 | Len: 24596 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x4013 | Len: 25112 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x4054 | Len: 6437  |
Opcode: 0x0895 | Len: 9496  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xF4F0 | Len: 4096  |
Opcode: 0xE8D4 | Len: 8192  |
Opcode: 0x5900 | Len: 12288 |
Opcode: 0x96B7 | Len: 16384 |
Opcode: 0xD8FD | Len: 20480 |
Opcode: 0xE201 | Len: 24576 |
Opcode: 0xA15D | Len: 28672 |
Opcode: 0x7072 | Len: 12837 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x9059 | Len: 14117 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x0056 | Len: 33317 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x4003 | Len: 34597 |
Opcode: 0x0895 | Len: 9496  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x7DAF | Len: 4096  |
Opcode: 0xA97F | Len: 12288 |
Opcode: 0xD117 | Len: 16384 |
Opcode: 0xBEAC | Len: 20480 |
Opcode: 0x6714 | Len: 24576 |
Opcode: 0x9062 | Len: 35109 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5089 | Len: 37925 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5089 | Len: 37925 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5069 | Len: 22822 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5069 | Len: 22822 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
