packet_parser.py
=== AetherCore Packet Analyzer (Bamboo Server) ===
Packet   4 | Len=22896 | Opcode=0x5055 | Payload=2 bytes
Packet   8 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet   9 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet  14 | Len= 9841 | Opcode=0x5087 | Payload=2 bytes
Packet  18 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet  19 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet  24 | Len=10097 | Opcode=0x3021 | Payload=2 bytes
Packet  28 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet  29 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet  34 | Len= 4210 | Opcode=0x8094 | Payload=2 bytes
Packet  38 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet  39 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet  41 | Len= 4096 | Opcode=0x0001 | Payload=5 bytes
Packet  46 | Len=30066 | Opcode=0x9055 | Payload=2 bytes
Packet  50 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet  51 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet  56 | Len=12661 | Opcode=0x9057 | Payload=2 bytes
Packet  60 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet  61 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet  63 | Len= 4096 | Opcode=0x61A9 | Payload=14 bytes
Packet  64 | Len= 8192 | Opcode=0x14A3 | Payload=8 bytes
Packet  69 | Len=20853 | Opcode=0x2080 | Payload=2 bytes
Packet  72 | Len=12818 | Opcode=0x5646 | Payload=0 bytes
Packet  73 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet  74 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet  76 | Len= 4096 | Opcode=0x0100 | Payload=14 bytes
Packet  77 | Len= 8192 | Opcode=0x6F6F | Payload=14 bytes
Packet  78 | Len=12288 | Opcode=0x7000 | Payload=14 bytes
Packet  79 | Len=16384 | Opcode=0x5100 | Payload=3 bytes
Packet  84 | Len=21109 | Opcode=0x2034 | Payload=2 bytes
Packet  88 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet  89 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet  94 | Len=33397 | Opcode=0x3002 | Payload=2 bytes
Packet  98 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet  99 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 105 | Len= 4982 | Opcode=0x8050 | Payload=2 bytes
Packet 108 | Len= 4648 | Opcode=0x5646 | Payload=0 bytes
Packet 109 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 110 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 112 | Len= 4096 | Opcode=0x0000 | Payload=14 bytes
Packet 113 | Len= 8192 | Opcode=0x0001 | Payload=14 bytes
Packet 114 | Len=12288 | Opcode=0x0000 | Payload=14 bytes
Packet 116 | Len=20480 | Opcode=0x0012 | Payload=14 bytes
Packet 117 | Len=24576 | Opcode=0x001F | Payload=14 bytes
Packet 118 | Len=28672 | Opcode=0x01C9 | Payload=14 bytes
Packet 119 | Len=32768 | Opcode=0x0001 | Payload=14 bytes
Packet 120 | Len=36864 | Opcode=0x0001 | Payload=14 bytes
Packet 121 | Len=40960 | Opcode=0x0001 | Payload=14 bytes
Packet 122 | Len=45056 | Opcode=0x0001 | Payload=14 bytes
Packet 123 | Len=49152 | Opcode=0x00B0 | Payload=14 bytes
Packet 124 | Len=53248 | Opcode=0x00B0 | Payload=14 bytes
Packet 125 | Len=57344 | Opcode=0x09E7 | Payload=1 bytes
Packet 130 | Len= 4982 | Opcode=0x8070 | Payload=2 bytes
Packet 134 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 135 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 140 | Len=14198 | Opcode=0x5077 | Payload=2 bytes
Packet 144 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 145 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 151 | Len=29303 | Opcode=0x5044 | Payload=2 bytes
Packet 155 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 156 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 158 | Len= 4096 | Opcode=0x8DC6 | Payload=14 bytes
Packet 159 | Len= 8192 | Opcode=0x0482 | Payload=10 bytes
Packet 164 | Len=37752 | Opcode=0x2091 | Payload=2 bytes
Packet 168 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 169 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
